item_id,judge,presentation_order,pass,score_first,score_second
Q034,judge_A,BA,1,4,3
Q034,judge_A,BA,2,4,3
Q035,judge_A,AB,1,3,1
Q035,judge_A,AB,2,3,2
Q035,judge_A,BA,1,2,2
Q035,judge_A,BA,2,2,2
Q036,judge_A,AB,1,3,2
Q036,judge_A,AB,2,2,2
Q036,judge_A,BA,1,2,2
Q036,judge_A,BA,2,2,2
Q037,judge_A,AB,1,4,4
Q037,judge_A,AB,2,4,5
Q037,judge_A,BA,1,5,4
Q037,judge_A,BA,2,5,4
Q038,judge_A,AB,1,4,2
Q038,judge_A,AB,2,4,2
Q038,judge_A,BA,1,3,3
Q038,judge_A,BA,2,3,3
Q039,judge_A,AB,1,4,3
Q039,judge_A,AB,2,4,3
Q039,judge_A,BA,1,4,3
Q039,judge_A,BA,2,4,3
Q040,judge_A,AB,1,4,5
Q040,judge_A,AB,2,4,5
Q040,judge_A,BA,1,5,4
Q040,judge_A,BA,2,5,3
Q041,judge_A,AB,1,3,3
Q041,judge_A,AB,2,3,3
Q041,judge_A,BA,1,4,2
Q041,judge_A,BA,2,4,2
Q042,judge_A,AB,1,4,4
Q042,judge_A,AB,2,4,4
Q042,judge_A,BA,1,5,4
Q042,judge_A,BA,2,5,4
Q043,judge_A,AB,1,4,5
Q043,judge_A,AB,2,4,5
Q043,judge_A,BA,1,5,4
Q043,judge_A,BA,2,5,4
Q044,judge_A,AB,1,4,1
Q044,judge_A,AB,2,4,2
Q044,judge_A,BA,1,2,4
Q044,judge_A,BA,2,2,4
Q045,judge_A,AB,1,3,1
Q045,judge_A,AB,2,3,2
Q045,judge_A,BA,1,2,2
Q045,judge_A,BA,2,2,3
Q046,judge_A,AB,1,4,1
Q046,judge_A,AB,2,4,1
Q046,judge_A,BA,1,2,3
Q046,judge_A,BA,2,2,4
Q047,judge_A,AB,1,4,4
Q047,judge_A,AB,2,4,4
Q047,judge_A,BA,1,5,3
Q047,judge_A,BA,2,5,3
Q048,judge_A,AB,1,3,3
Q048,judge_A,AB,2,2,3
Q048,judge_A,BA,1,3,2
Q048,judge_A,BA,2,4,2
Q049,judge_A,AB,1,5,5
Q049,judge_A,AB,2,5,5
Q049,judge_A,BA,1,5,4
Q049,judge_A,BA,2,5,4
Q050,judge_A,AB,1,5,2
Q050,judge_A,AB,2,5,2
Q050,judge_A,BA,1,2,4
Q050,judge_A,BA,2,2,4
Q051,judge_A,AB,1,3,3
Q051,judge_A,AB,2,4,3
Q051,judge_A,BA,1,4,3
Q051,judge_A,BA,2,3,3
Q052,judge_A,AB,1,3,2
Q052,judge_A,AB,2,3,2
Q052,judge_A,BA,1,3,2
Q052,judge_A,BA,2,3,2
Q053,judge_A,AB,1,4,2
Q053,judge_A,AB,2,3,2
Q053,judge_A,BA,1,2,3
Q053,judge_A,BA,2,2,3
Q054,judge_A,AB,1,4,5
Q054,judge_A,AB,2,4,5
Q054,judge_A,BA,1,5,4
Q054,judge_A,BA,2,5,4
Q055,judge_A,AB,1,3,2
Q055,judge_A,AB,2,3,2
Q055,judge_A,BA,1,2,3
Q055,judge_A,BA,2,3,3
Q056,judge_A,AB,1,4,4
Q056,judge_A,AB,2,4,4
Q056,judge_A,BA,1,4,4
Q056,judge_A,BA,2,4,3
Q057,judge_A,AB,1,2,1
Q057,judge_A,AB,2,2,1
Q057,judge_A,BA,1,2,2
Q057,judge_A,BA,2,2,2
Q058,judge_A,AB,1,3,1
Q058,judge_A,AB,2,2,1
Q058,judge_A,BA,1,2,2
Q058,judge_A,BA,2,2,2
Q059,judge_A,AB,1,4,3
Q059,judge_A,AB,2,4,3
Q059,judge_A,BA,1,3,4
Q059,judge_A,BA,2,3,4
Q060,judge_A,AB,1,3,1
Q060,judge_A,AB,2,3,1
Q060,judge_A,BA,1,2,3
Q060,judge_A,BA,2,2,2
Q061,judge_A,AB,1,5,4
Q061,judge_A,AB,2,5,4
Q061,judge_A,BA,1,4,5
Q061,judge_A,BA,2,4,4
Q062,judge_A,AB,1,4,4
Q062,judge_A,AB,2,4,5
Q062,judge_A,BA,1,5,4
Q062,judge_A,BA,2,5,4
Q063,judge_A,AB,1,4,2
Q063,judge_A,AB,2,4,2
Q063,judge_A,BA,1,3,3
Q063,judge_A,BA,2,3,3
Q064,judge_A,AB,1,3,1
Q064,judge_A,AB,2,3,1
Q064,judge_A,BA,1,2,3
Q064,judge_A,BA,2,2,3
Q065,judge_A,AB,1,3,2
Q065,judge_A,AB,2,3,2
Q065,judge_A,BA,1,3,2
Q065,judge_A,BA,2,3,2
Q066,judge_A,AB,1,5,3
Q066,judge_A,AB,2,5,3
Q066,judge_A,BA,1,4,4
Q066,judge_A,BA,2,4,4
Q067,judge_A,AB,1,5,3
Q067,judge_A,AB,2,5,3
Q067,judge_A,BA,1,4,5
Q067,judge_A,BA,2,4,5
Q068,judge_A,AB,1,4,5
Q068,judge_A,AB,2,5,5
Q068,judge_A,BA,1,5,4
Q068,judge_A,BA,2,5,4
Q069,judge_A,AB,1,5,1
Q069,judge_A,AB,2,5,1
Q069,judge_A,BA,1,2,4
Q069,judge_A,BA,2,2,4
Q070,judge_A,AB,1,4,5
Q070,judge_A,AB,2,5,5
Q070,judge_A,BA,1,5,4
Q070,judge_A,BA,2,5,4
Q071,judge_A,AB,1,3,2
Q071,judge_A,AB,2,3,2
Q071,judge_A,BA,1,3,3
Q071,judge_A,BA,2,2,3
Q072,judge_A,AB,1,5,5
Q072,judge_A,AB,2,5,5
Q072,judge_A,BA,1,5,4
Q072,judge_A,BA,2,5,4
Q073,judge_A,AB,1,5,5
Q073,judge_A,AB,2,5,5
Q073,judge_A,BA,1,5,5
Q073,judge_A,BA,2,5,4
Q074,judge_A,AB,1,5,3
Q074,judge_A,AB,2,5,3
Q074,judge_A,BA,1,3,4
Q074,judge_A,BA,2,3,4
Q075,judge_A,AB,1,4,3
Q075,judge_A,AB,2,4,3
Q075,judge_A,BA,1,3,3
Q075,judge_A,BA,2,3,3
Q076,judge_A,AB,1,5,1
Q076,judge_A,AB,2,5,1
Q076,judge_A,BA,1,2,4
Q076,judge_A,BA,2,2,4
Q077,judge_A,AB,1,5,4
Q077,judge_A,AB,2,5,4
Q077,judge_A,BA,1,5,4
Q077,judge_A,BA,2,5,5
Q078,judge_A,AB,1,5,3
Q078,judge_A,AB,2,5,3
Q078,judge_A,BA,1,4,5
Q078,judge_A,BA,2,4,5
Q079,judge_A,AB,1,3,1
Q079,judge_A,AB,2,3,1
Q079,judge_A,BA,1,2,3
Q079,judge_A,BA,2,2,2
Q080,judge_A,AB,1,4,2
Q080,judge_A,AB,2,4,2
Q080,judge_A,BA,1,3,4
Q080,judge_A,BA,2,3,4
Q081,judge_A,AB,1,4,5
Q081,judge_A,AB,2,4,5
Q081,judge_A,BA,1,5,3
Q081,judge_A,BA,2,5,3
Q082,judge_A,AB,1,4,5
Q082,judge_A,AB,2,4,4
Q082,judge_A,BA,1,5,4
Q082,judge_A,BA,2,5,3
Q083,judge_A,AB,1,3,5
Q083,judge_A,AB,2,4,5
Q083,judge_A,BA,1,5,3
Q083,judge_A,BA,2,5,3
Q084,judge_A,AB,1,3,4
Q084,judge_A,AB,2,3,4
Q084,judge_A,BA,1,5,3
Q084,judge_A,BA,2,5,3
Q085,judge_A,AB,1,3,2
Q085,judge_A,AB,2,3,1
Q085,judge_A,BA,1,1,3
Q085,judge_A,BA,2,2,3
Q086,judge_A,AB,1,3,3
Q086,judge_A,AB,2,3,3
Q086,judge_A,BA,1,3,2
Q086,judge_A,BA,2,3,2
Q087,judge_A,AB,1,4,4
Q087,judge_A,AB,2,4,4
Q087,judge_A,BA,1,5,4
Q087,judge_A,BA,2,4,4
Q088,judge_A,AB,1,5,3
Q088,judge_A,AB,2,5,3
Q088,judge_A,BA,1,3,5
Q088,judge_A,BA,2,3,5
Q089,judge_A,AB,1,5,5
Q089,judge_A,AB,2,5,5
Q089,judge_A,BA,1,5,5
Q089,judge_A,BA,2,5,5
Q090,judge_A,AB,1,5,5
Q090,judge_A,AB,2,5,5
Q090,judge_A,BA,1,5,4
Q090,judge_A,BA,2,5,4
Q091,judge_A,AB,1,5,4
Q091,judge_A,AB,2,5,4
Q091,judge_A,BA,1,4,4
Q091,judge_A,BA,2,5,4
Q092,judge_A,AB,1,3,1
Q092,judge_A,AB,2,3,1
Q092,judge_A,BA,1,2,2
Q092,judge_A,BA,2,2,2
Q093,judge_A,AB,1,5,3
Q093,judge_A,AB,2,4,3
Q093,judge_A,BA,1,4,4
Q093,judge_A,BA,2,4,4
Q094,judge_A,AB,1,3,1
Q094,judge_A,AB,2,3,1
Q094,judge_A,BA,1,2,3
Q094,judge_A,BA,2,1,3
Q095,judge_A,AB,1,4,1
Q095,judge_A,AB,2,4,2
Q095,judge_A,BA,1,2,3
Q095,judge_A,BA,2,2,3
Q096,judge_A,AB,1,3,5
Q096,judge_A,AB,2,3,5
Q096,judge_A,BA,1,5,3
Q096,judge_A,BA,2,5,3
Q097,judge_A,AB,1,2,1
Q097,judge_A,AB,2,2,1
Q097,judge_A,BA,1,2,2
Q097,judge_A,BA,2,2,2
Q098,judge_A,AB,1,5,4
Q098,judge_A,AB,2,5,4
Q098,judge_A,BA,1,5,4
Q098,judge_A,BA,2,5,4
Q099,judge_A,AB,1,5,5
Q099,judge_A,AB,2,5,5
Q099,judge_A,BA,1,5,5
Q099,judge_A,BA,2,5,5
Q100,judge_A,AB,1,2,1
Q100,judge_A,AB,2,2,1
Q100,judge_A,BA,1,2,2
Q100,judge_A,BA,2,2,2
Q101,judge_A,AB,1,3,1
Q101,judge_A,AB,2,3,1
Q101,judge_A,BA,1,2,3
Q101,judge_A,BA,2,2,3
Q102,judge_A,AB,1,4,1
Q102,judge_A,AB,2,4,2
Q102,judge_A,BA,1,2,3
Q102,judge_A,BA,2,2,3
Q103,judge_A,AB,1,5,5
Q103,judge_A,AB,2,5,5
Q103,judge_A,BA,1,5,4
Q103,judge_A,BA,2,5,5
Q104,judge_A,AB,1,4,3
Q104,judge_A,AB,2,4,3
Q104,judge_A,BA,1,4,3
Q104,judge_A,BA,2,4,3
Q105,judge_A,AB,1,3,2
Q105,judge_A,AB,2,3,2
Q105,judge_A,BA,1,2,3
Q105,judge_A,BA,2,2,3
Q106,judge_A,AB,1,4,3
Q106,judge_A,AB,2,4,2
Q106,judge_A,BA,1,3,3
Q106,judge_A,BA,2,3,3
Q107,judge_A,AB,1,5,4
Q107,judge_A,AB,2,5,5
Q107,judge_A,BA,1,5,5
Q107,judge_A,BA,2,5,5
Q108,judge_A,AB,1,4,4
Q108,judge_A,AB,2,4,4
Q108,judge_A,BA,1,5,4
Q108,judge_A,BA,2,5,4
Q109,judge_A,AB,1,3,1
Q109,judge_A,AB,2,3,1
Q109,judge_A,BA,1,2,3
Q109,judge_A,BA,2,2,3
Q110,judge_A,AB,1,5,3
Q110,judge_A,AB,2,5,3
Q110,judge_A,BA,1,3,5
Q110,judge_A,BA,2,3,4
Q111,judge_A,AB,1,4,3
Q111,judge_A,AB,2,4,3
Q111,judge_A,BA,1,4,4
Q111,judge_A,BA,2,4,4
Q112,judge_A,AB,1,4,1
Q112,judge_A,AB,2,4,1
Q112,judge_A,BA,1,2,3
Q112,judge_A,BA,2,2,3
Q113,judge_A,AB,1,5,5
Q113,judge_A,AB,2,5,5
Q113,judge_A,BA,1,5,4
Q113,judge_A,BA,2,5,4
Q114,judge_A,AB,1,4,1
Q114,judge_A,AB,2,4,1
Q114,judge_A,BA,1,2,3
Q114,judge_A,BA,2,2,3
Q115,judge_A,AB,1,3,2
Q115,judge_A,AB,2,3,2
Q115,judge_A,BA,1,3,3
Q115,judge_A,BA,2,3,3
Q116,judge_A,AB,1,5,4
Q116,judge_A,AB,2,5,4
Q116,judge_A,BA,1,5,4
Q116,judge_A,BA,2,4,4
Q117,judge_A,AB,1,2,1
Q117,judge_A,AB,2,3,1
Q117,judge_A,BA,1,2,2
Q117,judge_A,BA,2,2,2
Q118,judge_A,AB,1,3,1
Q118,judge_A,AB,2,3,1
Q118,judge_A,BA,1,2,2
Q118,judge_A,BA,2,2,3
Q119,judge_A,AB,1,4,3
Q119,judge_A,AB,2,4,4
Q119,judge_A,BA,1,4,4
Q119,judge_A,BA,2,4,4
Q120,judge_A,AB,1,5,4
Q120,judge_A,AB,2,5,4
Q120,judge_A,BA,1,5,4
Q120,judge_A,BA,2,5,5
Q001,judge_B,AB,1,3,2
Q001,judge_B,AB,2,4,3
Q001,judge_B,BA,1,2,3
Q001,judge_B,BA,2,3,3
Q002,judge_B,AB,1,3,3
Q002,judge_B,AB,2,3,3
Q002,judge_B,BA,1,3,3
Q002,judge_B,BA,2,3,3
Q003,judge_B,AB,1,3,3
Q003,judge_B,AB,2,3,3
Q003,judge_B,BA,1,4,2
Q003,judge_B,BA,2,3,3
Q004,judge_B,AB,1,4,2
Q004,judge_B,AB,2,4,3
Q004,judge_B,BA,1,2,4
Q004,judge_B,BA,2,2,3
Q005,judge_B,AB,1,4,4
Q005,judge_B,AB,2,4,3
Q005,judge_B,BA,1,4,3
Q005,judge_B,BA,2,4,3
Q006,judge_B,AB,1,2,1
Q006,judge_B,AB,2,2,3
Q006,judge_B,BA,1,2,3
Q006,judge_B,BA,2,2,2
Q007,judge_B,AB,1,4,5
Q007,judge_B,AB,2,4,5
Q007,judge_B,BA,1,5,4
Q007,judge_B,BA,2,5,3
Q008,judge_B,AB,1,4,2
Q008,judge_B,AB,2,4,2
Q008,judge_B,BA,1,3,4
Q008,judge_B,BA,2,2,5
Q009,judge_B,AB,1,3,1
Q009,judge_B,AB,2,3,1
Q009,judge_B,BA,1,1,2
Q009,judge_B,BA,2,1,2
Q010,judge_B,AB,1,4,3
Q010,judge_B,AB,2,4,2
Q010,judge_B,BA,1,3,4
Q010,judge_B,BA,2,3,4
Q011,judge_B,AB,1,2,3
Q011,judge_B,AB,2,2,3
Q011,judge_B,BA,1,3,2
Q011,judge_B,BA,2,3,1
Q012,judge_B,AB,1,4,4
Q012,judge_B,AB,2,4,3
Q012,judge_B,BA,1,4,3
Q012,judge_B,BA,2,4,3
Q013,judge_B,AB,1,2,5
Q013,judge_B,AB,2,3,4
Q013,judge_B,BA,1,5,2
Q013,judge_B,BA,2,5,3
Q014,judge_B,AB,1,4,2
Q014,judge_B,AB,2,4,3
Q014,judge_B,BA,1,3,3
Q014,judge_B,BA,2,2,4
Q015,judge_B,AB,1,1,1
Q015,judge_B,AB,2,2,1
Q015,judge_B,BA,1,1,2
Q015,judge_B,BA,2,1,1
Q016,judge_B,AB,1,2,1
Q016,judge_B,AB,2,2,1
Q016,judge_B,BA,1,1,2
Q016,judge_B,BA,2,1,2
Q017,judge_B,AB,1,4,3
Q017,judge_B,AB,2,5,2
Q017,judge_B,BA,1,3,4
Q017,judge_B,BA,2,2,4
Q018,judge_B,AB,1,2,3
Q018,judge_B,AB,2,3,2
Q018,judge_B,BA,1,3,3
Q018,judge_B,BA,2,3,3
Q019,judge_B,AB,1,4,3
Q019,judge_B,AB,2,4,4
Q019,judge_B,BA,1,3,4
Q019,judge_B,BA,2,3,4
Q020,judge_B,AB,1,3,2
Q020,judge_B,AB,2,3,2
Q020,judge_B,BA,1,3,3
Q020,judge_B,BA,2,3,2
Q021,judge_B,AB,1,3,1
Q021,judge_B,AB,2,3,1
Q021,judge_B,BA,1,1,3
Q021,judge_B,BA,2,1,3
Q022,judge_B,AB,1,4,3
Q022,judge_B,AB,2,4,3
Q022,judge_B,BA,1,4,4
Q022,judge_B,BA,2,3,4
Q023,judge_B,AB,1,3,4
Q023,judge_B,AB,2,3,4
Q023,judge_B,BA,1,4,3
Q023,judge_B,BA,2,4,2
Q024,judge_B,AB,1,4,1
Q024,judge_B,AB,2,4,1
Q024,judge_B,BA,1,1,4
Q024,judge_B,BA,2,1,4
Q025,judge_B,AB,1,3,3
Q025,judge_B,AB,2,4,2
Q025,judge_B,BA,1,3,3
Q025,judge_B,BA,2,3,3
Q026,judge_B,AB,1,4,3
Q026,judge_B,AB,2,5,3
Q026,judge_B,BA,1,3,3
Q026,judge_B,BA,2,3,4
Q027,judge_B,AB,1,4,2
Q027,judge_B,AB,2,3,2
Q027,judge_B,BA,1,2,4
Q027,judge_B,BA,2,2,4
Q028,judge_B,AB,1,3,3
Q028,judge_B,AB,2,4,3
Q028,judge_B,BA,1,2,4
Q028,judge_B,BA,2,3,3
Q029,judge_B,AB,1,3,3
Q029,judge_B,AB,2,3,3
Q029,judge_B,BA,1,3,2
Q029,judge_B,BA,2,3,2
Q030,judge_B,AB,1,4,5
Q030,judge_B,AB,2,5,4
Q030,judge_B,BA,1,5,4
Q030,judge_B,BA,2,5,5
Q031,judge_B,AB,1,4,4
Q031,judge_B,AB,2,4,3
Q031,judge_B,BA,1,3,4
Q031,judge_B,BA,2,3,4
Q032,judge_B,AB,1,2,2
Q032,judge_B,AB,2,2,1
Q032,judge_B,BA,1,1,2
Q032,judge_B,BA,2,2,1
Q033,judge_B,AB,1,4,4
Q033,judge_B,AB,2,4,4
Q033,judge_B,BA,1,4,4
Q033,judge_B,BA,2,5,4
Q034,judge_B,AB,1,2,3
Q034,judge_B,AB,2,3,3
Q034,judge_B,BA,1,3,3
Q034,judge_B,BA,2,3,3
Q035,judge_B,AB,1,2,1
Q035,judge_B,AB,2,2,1
Q035,judge_B,BA,1,1,1
Q035,judge_B,BA,2,1,2
Q036,judge_B,AB,1,2,1
Q036,judge_B,AB,2,1,1
Q036,judge_B,BA,1,2,1
Q036,judge_B,BA,2,1,1
Q037,judge_B,AB,1,3,4
Q037,judge_B,AB,2,3,3
Q037,judge_B,BA,1,4,3
Q037,judge_B,BA,2,4,4
Q038,judge_B,AB,1,2,2
Q038,judge_B,AB,2,2,2
Q038,judge_B,BA,1,2,2
Q038,judge_B,BA,2,1,3
Q039,judge_B,AB,1,3,3
Q039,judge_B,AB,2,3,3
Q039,judge_B,BA,1,2,3
Q039,judge_B,BA,2,3,2
Q040,judge_B,AB,1,3,5
Q040,judge_B,AB,2,3,5
Q040,judge_B,BA,1,4,3
Q040,judge_B,BA,2,4,3
Q041,judge_B,AB,1,2,2
Q041,judge_B,AB,2,2,3
Q041,judge_B,BA,1,3,1
Q041,judge_B,BA,2,3,1
Q042,judge_B,AB,1,3,4
Q042,judge_B,AB,2,4,4
Q042,judge_B,BA,1,4,2
Q042,judge_B,BA,2,4,3
Q043,judge_B,AB,1,4,5
Q043,judge_B,AB,2,4,4
Q043,judge_B,BA,1,5,3
Q043,judge_B,BA,2,5,3
Q044,judge_B,AB,1,3,1
Q044,judge_B,AB,2,4,1
Q044,judge_B,BA,1,1,3
Q044,judge_B,BA,2,2,4
Q045,judge_B,AB,1,2,1
Q045,judge_B,AB,2,2,2
Q045,judge_B,BA,1,2,2
Q045,judge_B,BA,2,2,3
Q046,judge_B,AB,1,3,2
Q046,judge_B,AB,2,2,1
Q046,judge_B,BA,1,1,3
Q046,judge_B,BA,2,1,3
Q047,judge_B,AB,1,3,4
Q047,judge_B,AB,2,3,4
Q047,judge_B,BA,1,4,3
Q047,judge_B,BA,2,3,4
Q048,judge_B,AB,1,2,3
Q048,judge_B,AB,2,2,2
Q048,judge_B,BA,1,2,2
Q048,judge_B,BA,2,2,1
Q049,judge_B,AB,1,4,4
Q049,judge_B,AB,2,4,5
Q049,judge_B,BA,1,4,4
Q049,judge_B,BA,2,4,3
Q050,judge_B,AB,1,3,1
Q050,judge_B,AB,2,4,1
Q050,judge_B,BA,1,2,4
Q050,judge_B,BA,2,2,4
Q051,judge_B,AB,1,3,2
Q051,judge_B,AB,2,2,3
Q051,judge_B,BA,1,3,3
Q051,judge_B,BA,2,2,2
Q052,judge_B,AB,1,2,2
Q052,judge_B,AB,2,2,3
Q052,judge_B,BA,1,2,1
Q052,judge_B,BA,2,2,2
Q053,judge_B,AB,1,3,1
Q053,judge_B,AB,2,3,1
Q053,judge_B,BA,1,1,3
Q053,judge_B,BA,2,2,3
Q054,judge_B,AB,1,3,4
Q054,judge_B,AB,2,3,4
Q054,judge_B,BA,1,5,4
Q054,judge_B,BA,2,4,4
Q055,judge_B,AB,1,2,1
Q055,judge_B,AB,2,2,2
Q055,judge_B,BA,1,1,2
Q055,judge_B,BA,2,2,2
Q056,judge_B,AB,1,4,3
Q056,judge_B,AB,2,3,3
Q056,judge_B,BA,1,3,3
Q056,judge_B,BA,2,3,3
Q057,judge_B,AB,1,1,1
Q057,judge_B,AB,2,2,1
Q057,judge_B,BA,1,1,2
Q057,judge_B,BA,2,1,1
Q058,judge_B,AB,1,2,1
Q058,judge_B,AB,2,1,1
Q058,judge_B,BA,1,1,2
Q058,judge_B,BA,2,1,2
Q059,judge_B,AB,1,3,2
Q059,judge_B,AB,2,3,2
Q059,judge_B,BA,1,2,4
Q059,judge_B,BA,2,3,3
Q060,judge_B,AB,1,2,1
Q060,judge_B,AB,2,2,2
Q060,judge_B,BA,1,1,2
Q060,judge_B,BA,2,1,2
Q061,judge_B,AB,1,4,4
Q061,judge_B,AB,2,5,3
Q061,judge_B,BA,1,3,4
Q061,judge_B,BA,2,3,5
Q062,judge_B,AB,1,3,4
Q062,judge_B,AB,2,3,4
Q062,judge_B,BA,1,5,3
Q062,judge_B,BA,2,4,3
Q063,judge_B,AB,1,3,2
Q063,judge_B,AB,2,2,2
Q063,judge_B,BA,1,2,3
Q063,judge_B,BA,2,2,3
Q064,judge_B,AB,1,2,1
Q064,judge_B,AB,2,2,1
Q064,judge_B,BA,1,1,2
Q064,judge_B,BA,2,1,3
Q065,judge_B,AB,1,2,2
Q065,judge_B,AB,2,1,2
Q065,judge_B,BA,1,2,1
Q065,judge_B,BA,2,2,2
Q066,judge_B,AB,1,5,2
Q066,judge_B,AB,2,4,3
Q066,judge_B,BA,1,3,4
Q066,judge_B,BA,2,3,4
Q067,judge_B,AB,1,5,2
Q067,judge_B,AB,2,4,3
Q067,judge_B,BA,1,3,5
Q067,judge_B,BA,2,3,4
Q068,judge_B,AB,1,3,5
Q068,judge_B,AB,2,4,5
Q068,judge_B,BA,1,4,4
Q068,judge_B,BA,2,5,3
Q069,judge_B,AB,1,4,2
Q069,judge_B,AB,2,3,1
Q069,judge_B,BA,1,1,4
Q069,judge_B,BA,2,1,4
Q070,judge_B,AB,1,4,5
Q070,judge_B,AB,2,3,4
Q070,judge_B,BA,1,4,4
Q070,judge_B,BA,2,4,3
Q071,judge_B,AB,1,2,2
Q071,judge_B,AB,2,1,1
Q071,judge_B,BA,1,1,2
Q071,judge_B,BA,2,2,3
Q072,judge_B,AB,1,4,5
Q072,judge_B,AB,2,3,5
Q072,judge_B,BA,1,5,3
Q072,judge_B,BA,2,5,3
Q073,judge_B,AB,1,5,5
Q073,judge_B,AB,2,4,5
Q073,judge_B,BA,1,5,3
Q073,judge_B,BA,2,4,4
Q074,judge_B,AB,1,4,2
Q074,judge_B,AB,2,4,2
Q074,judge_B,BA,1,2,4
